Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:32:31 AM,01/01/2016 01:39:08 AM,QUEENS,No Access,Blocked Driveway,NYPD,-73.89888901250218,40.70744791054564,Closed,0 days 01:06:37.000000000,0
01/01/2016 12:32:34 AM,01/01/2016 04:09:38 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.91668727693269,40.87897486267529,Closed,0 days 03:37:04.000000000,0
01/01/2016 12:33:00 AM,01/01/2016 02:20:00 AM,STATEN ISLAND,Sewer Backup (Use Comments) (SA),Sewer,DEP,-74.07482176566215,40.599222015293954,Closed,0 days 01:47:00.000000000,0
01/01/2016 12:33:01 AM,01/01/2016 06:34:26 AM,QUEENS,Posted Parking Sign Violation,Illegal Parking,NYPD,-73.87729410513894,40.77442086598845,Closed,0 days 06:01:25.000000000,0
01/01/2016 12:33:03 AM,01/01/2016 05:01:47 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.93552825987513,40.69170557517789,Closed,0 days 04:28:44.000000000,0
01/01/2016 12:33:19 AM,01/01/2016 02:09:44 AM,MANHATTAN,Double Parked Blocking Vehicle,Illegal Parking,NYPD,-73.94465156921731,40.830569623716286,Closed,0 days 01:36:25.000000000,0
01/01/2016 12:34:08 AM,01/01/2016 03:04:54 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.82412105618961,40.729837579895026,Closed,0 days 02:30:46.000000000,0
01/01/2016 12:34:38 AM,01/07/2016 12:14:46 PM,BRONX,ENTIRE BUILDING,HEAT/HOT WATER,HPD,-73.86563109207698,40.90202874599831,Closed,6 days 11:40:08.000000000,0
01/01/2016 12:35:07 AM,01/01/2016 02:04:25 PM,BRONX,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.9058085639448,40.84670804381169,Closed,0 days 13:29:18.000000000,0
01/01/2016 12:35:07 AM,01/01/2016 03:58:53 PM,BROOKLYN,Banging/Pounding,Noise - Residential,NYPD,-73.96741649342442,40.63197615710564,Closed,0 days 15:23:46.000000000,0
01/01/2016 12:35:28 AM,01/01/2016 10:01:47 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.91640666366692,40.84043357320546,Closed,0 days 09:26:19.000000000,0
01/01/2016 12:35:30 AM,01/01/2016 07:47:26 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.86448513165125,40.864397692308394,Closed,0 days 07:11:56.000000000,0
01/01/2016 12:35:34 AM,01/04/2016 11:26:34 AM,BRONX,ENTIRE BUILDING,HEAT/HOT WATER,HPD,-73.85773623267771,40.84195982947876,Closed,3 days 10:51:00.000000000,0
01/01/2016 12:35:53 AM,01/01/2016 07:26:36 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.91317937007253,40.83484295688418,Closed,0 days 06:50:43.000000000,0
01/01/2016 12:35:58 AM,01/01/2016 02:20:14 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.95590418542173,40.737750323290356,Closed,0 days 01:44:16.000000000,0
01/01/2016 12:36:12 AM,01/01/2016 01:24:45 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-74.00060975462769,40.72889046320513,Closed,0 days 00:48:33.000000000,0
01/01/2016 12:36:26 AM,01/01/2016 02:04:26 PM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.89938613893433,40.85840604170503,Closed,0 days 13:28:00.000000000,0
01/01/2016 12:36:40 AM,01/01/2016 01:18:44 AM,MANHATTAN,Loud Music/Party,Noise - Commercial,NYPD,-73.9837386425188,40.74380430449325,Closed,0 days 00:42:04.000000000,0
01/01/2016 12:36:58 AM,01/01/2016 07:26:25 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.91317937007253,40.83484295688418,Closed,0 days 06:49:27.000000000,0
01/01/2016 12:37:11 AM,01/01/2016 02:01:00 AM,MANHATTAN,No Access,Blocked Driveway,NYPD,-73.9419916251432,40.789564898616185,Closed,0 days 01:23:49.000000000,0
01/01/2016 12:37:34 AM,01/01/2016 03:58:53 PM,BROOKLYN,Car/Truck Music,Noise - Vehicle,NYPD,-73.95698846961065,40.62885190380171,Closed,0 days 15:21:19.000000000,0
01/01/2016 12:37:41 AM,01/01/2016 02:08:39 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.94120490161045,40.82166680437474,Closed,0 days 01:30:58.000000000,0
01/01/2016 12:37:54 AM,01/01/2016 03:14:07 AM,QUEENS,Banging/Pounding,Noise - Residential,NYPD,-73.93328704854555,40.77287494008182,Closed,0 days 02:36:13.000000000,0
01/01/2016 12:38:07 AM,01/01/2016 07:26:15 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.91317937007253,40.83484295688418,Closed,0 days 06:48:08.000000000,0
01/01/2016 12:38:28 AM,01/01/2016 12:50:57 AM,MANHATTAN,Loud Music/Party,Noise - Commercial,NYPD,-73.98825325266078,40.72349367369547,Closed,0 days 00:12:29.000000000,0
